project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,21,PRE08-C,FP,claude-sonnet-5,"8.3-filename ambiguity irrelevant to this build; both headers coexist fine, not a real defect.",mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,22,PRE08-C,FP,claude-sonnet-5,"8.3-filename ambiguity irrelevant to this build; both headers coexist fine, not a real defect.",mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,78,DCL06-C,FP,claude-sonnet-5,"Domain-standard crypto/spec constant (byte range, block size, round count); idiomatic, not a defect.",mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,184,PRE05-C,FP,claude-sonnet-5,Intentional token-paste 'V' macro for table generation; non-expansion of args is by design.,mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,185,DCL06-C,FP,claude-sonnet-5,"Domain-standard crypto/spec constant (byte range, block size, round count); idiomatic, not a defect.",mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,188,PRE05-C,FP,claude-sonnet-5,Intentional token-paste 'V' macro for table generation; non-expansion of args is by design.,mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,189,DCL06-C,FP,claude-sonnet-5,"Domain-standard crypto/spec constant (byte range, block size, round count); idiomatic, not a defect.",mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,192,PRE05-C,FP,claude-sonnet-5,Intentional token-paste 'V' macro for table generation; non-expansion of args is by design.,mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,193,DCL06-C,FP,claude-sonnet-5,"Domain-standard crypto/spec constant (byte range, block size, round count); idiomatic, not a defect.",mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
mbedtls,068ff080b369adfac81509f9b57b2afabaf82dc5,library/aes.c,196,PRE05-C,FP,claude-sonnet-5,Intentional token-paste 'V' macro for table generation; non-expansion of args is by design.,mbedtls-oracle-build-r720-20260914,2026-09-14T19:21:00.700463,,high
