project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,30,PRE00-C,TP,claude-sonnet-5,sfree evaluates p three times (check/free/assign); a side-effecting lvalue arg would misbehave; should be inline fn taking a pointer,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,30,PRE01-C,TP,claude-sonnet-5,p appears unparenthesized in comparison/assignment inside sfree; latent precedence hazard with compound arguments,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,30,PRE12-C,TP,claude-sonnet-5,"sfree genuinely evaluates p three times (guard, free, null-assign)",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,31,PRE00-C,FP,claude-sonnet-5,"wconvert only declares w##p via token-paste and evaluates p once in the call; not multi-evaluated, and the macro can't be an inline fn since",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,31,PRE05-C,TP,claude-sonnet-5,wconvert token-pastes w##p directly with no indirection layer; would silently fail to expand if p were itself a macro,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,31,PRE12-C,FP,claude-sonnet-5,"p in wconvert is evaluated exactly once (utf8_to_wchar(p)); w##p is a token-paste, not an evaluation",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,32,PRE00-C,FP,claude-sonnet-5,"walloc's p is evaluated only once ((p==NULL)); w##p is a token-paste. Declares a new identifier per call, so it cannot become an inline func",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,32,PRE01-C,TP,claude-sonnet-5,"walloc's p appears bare inside (p==NULL), not individually parenthesized; latent precedence hazard",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,32,PRE02-C,FP,claude-sonnet-5,"walloc's replacement list is a full declaration statement (wchar_t* w##p = ...), not an expression; parenthesizing it is not meaningful",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,32,PRE05-C,TP,claude-sonnet-5,walloc token-pastes w##p directly with no indirection layer,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,32,PRE12-C,FP,claude-sonnet-5,"p in walloc is evaluated exactly once; w##p is a token-paste, not an evaluation",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,33,PRE05-C,TP,claude-sonnet-5,wfree token-pastes w##p directly (via sfree(w##p)) with no indirection layer,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,35,PRE12-C,FP,claude-sonnet-5,"dst appears in sizeof(dst), which never evaluates its operand for a non-VLA type; only one real evaluation occurs. strcpy_s(dst,sizeof(dst),",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,36,PRE12-C,FP,claude-sonnet-5,same reasoning as static_strcpy: sizeof(dst) does not evaluate dst; standard safe strcat_s idiom,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,51,MSC13-C,TP,claude-sonnet-5,size=0 is unconditionally overwritten by MultiByteToWideChar's result (line 62) before any read,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,low
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,52,MSC13-C,TP,claude-sonnet-5,wstr=NULL is unconditionally overwritten by calloc's result (line 66) before any read,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,low
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,54,EXP19-C,TP,claude-sonnet-5,if (str==NULL) return NULL; single statement with no braces,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,58,EXP19-C,TP,claude-sonnet-5,if (str[0]==0) return ...; single statement with no braces,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,59,INT30-C,FP,claude-sonnet-5,"calloc(1, sizeof(wchar_t)): both operands are compile-time constants (1, 2); cannot overflow",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,59,MEM06-C,FP,claude-sonnet-5,generic empty-string conversion buffer; no evidence this specific allocation holds sensitive data,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,59,MEM07-C,FP,claude-sonnet-5,"calloc(1, sizeof(wchar_t)) with constant operands cannot wrap; calloc is also defined to check nmemb*size overflow internally",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,59,STR01-C,FP,claude-sonnet-5,'mixed string management' (an unrelated static array at line 76 vs. this heap alloc) is not a genuine STR01-C inconsistency defect,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,62,DCL31-C,FP,claude-sonnet-5,MultiByteToWideChar is declared via <Windows.h> (included at top of file); SDK-less-scan artifact,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,63,EXP19-C,TP,claude-sonnet-5,if (size<=1) return NULL; single statement with no braces,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,66,EXP19-C,TP,claude-sonnet-5,if ((wstr=calloc(...))==NULL) return NULL; single statement with no braces,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,66,INT01-C,TP,claude-sonnet-5,int size is passed directly as calloc's size_t nmemb argument,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,66,INT30-C,FP,claude-sonnet-5,"calloc(size,sizeof(wchar_t)) is the standard overflow-checked idiom (that's why calloc, not malloc(size*n), was used); calloc is defined to ",ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,66,MEM04-C,FP,claude-sonnet-5,size is guaranteed >1 by the preceding 'if (size<=1) return NULL;' guard at lines 63-64; the prior check does exist,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,high
ventoy,7cbdc5cf69935bcf1f085ae67f40e70ea7e74bae,Ventoy2Disk/Ventoy2Disk/AlertSuppress.c,66,MEM06-C,FP,claude-sonnet-5,same generic-buffer reasoning as line 59; no evidence of sensitive-data content,ventoy-oracle-build-task1134-r720-20260914,2026-09-14T15:03:07.205857,,medium
