project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,56,API00-C,FP,claude,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,56,STR31-C,FP,claude,argc is validated before argv use (argc<2 / argc!=3 -> exit),libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,58,ENV01-C,FP,claude,no getenv()/environment-variable use in the flagged code,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,83,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,87,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,88,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,89,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,90,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,91,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,96,EXP19-C,FP,claude,"missing braces around a single-statement body; cosmetic, no defect",libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,96,EXP20-C,FP,claude,"'if(!strcmp(...))' is a standard, well-understood idiom",libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,97,EXP19-C,FP,claude,"missing braces around a single-statement body; cosmetic, no defect",libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,97,EXP20-C,FP,claude,"'if(!strcmp(...))' is a standard, well-understood idiom",libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,101,EXP12-C,FP,claude,ignoring the printf/fprintf/snprintf return value is idiomatic here; no error-handling consequence,libcrc_full_audit_0.4.24,2026-06-11,,
libcrc,7719e2112a9a960b1bba130d02bebdf58e8701f1,examples/tstcrc.c,102,FIO20-C,TP,claude,fgets(MAX-1) truncation is never detected; long input is silently truncated,libcrc_full_audit_0.4.24,2026-06-11,,
