project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,52,INT30-C,FP,claude,"offset is a small IPC message-register offset; the function's own leading asserts (offset==1, offset+2==<enum>, offset+3==<enum>) confirm it is one of a handful of small kernel-internal constants for message layout, never externally-influenced.",delta_int30_bmdb763,2026-09-07T13:16:37.387451,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,56,INT30-C,FP,claude,Same bounded offset as line 52 (depth-mismatch branch).,delta_int30_bmdb763,2026-09-07T13:16:37.387451,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,58,INT30-C,FP,claude,"Same bounded offset as line 52 (depth-mismatch branch, +2).",delta_int30_bmdb763,2026-09-07T13:16:37.387451,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,62,INT30-C,FP,claude,"Same bounded offset as line 52 (guard-mismatch branch, +1).",delta_int30_bmdb763,2026-09-07T13:16:37.387451,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,64,INT30-C,FP,claude,"Same bounded offset as line 52 (guard-mismatch branch, +2).",delta_int30_bmdb763,2026-09-07T13:16:37.387451,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,65,DCL31-C,FP,claude,DCL31-C generated-bitfield-getter pattern (lookup_fault_guard_mismatch_get_guardFound).,precision_audit_task552_10pct_sample,2026-08-25,,high
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,66,INT30-C,FP,claude,"Same bounded offset as line 52 (guard-mismatch branch, +3).",delta_int30_bmdb763,2026-09-07T13:16:37.387451,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,74,INT01-C,FP,,"length in copyMRsFaultReply is only used as MIN(length, n_msgRegisters) to bound copying IPC message registers, the canonical IPC message word-count role, not an object size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,82,DCL00-C,TP,claude,"Local variable, initialized once and read-only thereafter, passed only by value to callees (no pointer/reference escapes that would require non-const); const-qualifying is correct and has no ABI/interface implication, matching this session's DCL13-C-style 'correct AND implementable' standard.",delta_dcl00_bmdb761,2026-09-07T13:42:34.126746,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,91,DCL00-C,TP,claude,"Local variable, initialized once and read-only thereafter, passed only by value to callees (no pointer/reference escapes that would require non-const); const-qualifying is correct and has no ABI/interface implication, matching this session's DCL13-C-style 'correct AND implementable' standard.",delta_dcl00_bmdb761,2026-09-07T13:42:34.126746,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,100,INT01-C,FP,,"length in copyMRsFault has the identical MIN(length, n_msgRegisters) IPC-register-count usage as copyMRsFaultReply.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,114,API00-C,TP,claude-sonnet-5,"bmdb 768 (run 238, sel4): adjudicated under the confirmed API00-C standard (task-644-full-reaudit / 792-793-794-796 reconciliation -- assert() does not count as a guard, NDEBUG strips it from release builds). Function 'handleFaultReply', parameter(s) checked: ['receiver', 'sender']. 'receiver': not-provable; 'sender': not-provable. No genuine guard exists and no real call site provably passes a non-null value for at least one parameter -- empirically well-behaved callers are not proof, exactly what task-644-full-reaudit already tested and rejected as FP grounds. TP.",task-768-api00c-sel4-run238,2026-09-08T16:22:08.709460,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,174,MSC12-C,TP,claude,"A genuine stray/doubled semicolon (`};` after a closing brace, or `;;`) -- harmless (changes no behavior) but a real, if trivial, match for CERT MSC12-C's own canonical stray-semicolon example, unlike the documented-intentional-no-op class elsewhere in this batch.",delta_msc12_bmdb758,2026-09-07T13:35:37.430279,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,191,API00-C,TP,task-644-audit,"setMRs_fault(receiver) is internal fault-message-setup code invoked with the internally-tracked receiver TCB, never unvalidated.",task-644-full-reaudit,2026-08-30T18:38:52.403573,,high
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,197,DCL31-C,FP,claude,DCL31-C generated-bitfield-getter pattern (seL4_Fault_CapFault_get_address).,precision_audit_task552_10pct_sample,2026-08-25,,high
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/faults.c,244,MSC13-C,FP,claude,ret's first assignment IS the value returned when the following if-condition is false (`return ret;` at the end is reached either way); the checker's 'never read on any path' claim is simply wrong -- verified by reading to the function's end.,delta_msc13_bmdb761,2026-09-07T14:03:52.867543,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/syscall.c,54,EXP10-C,FP,,pure-accessor-macro-chain,delta-adjudication-task757-r720-weekend,2026-09-11T16:13:19.208950,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/syscall.c,114,DCL11-C,FP,claude,"The actual argument is a genuine pointer of this type (e.g. `tcb_t *x`) passed to %p; the checker's diagnostic drops the pointer indirection level when reporting the argument's type, making a correct pointer argument look like a mismatch against void*. Verified directly (src/api/syscall.c:114's tcb_t case, src/arch/arm/32/machine/capdl.c's pte_t case): the source argument is unambiguously a pointer.",delta_dcl11_bmdb761,2026-09-07T14:07:19.795726,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/syscall.c,114,EXP12-C,FP,claude,"Diagnostic/status/help/debug output (CLI message, boot-time log, debug-dump utility, or a report/profiling artifact) with no consequence for the program's own correctness -- if the write/call fails, at most a human observer loses visibility, nothing the program itself depends on. Distinguished from this task's established TP category (config/credential/session persistence data the program later reads back) by whether the program's own core function depends on this specific data's integrity.",delta-adjudication-task757-round5,2026-09-07T18:31:09.358321,,
sel4,1326364bc9135d9445d936ebc01e38a402c1f4c6,src/api/syscall.c,119,EXP12-C,FP,claude-sonnet-5,"bare printf() to kernel debug console (impl_kvprintf/kernel_putchar, or compiled to (void)0 when CONFIG_PRINTING is off) -- return value feeds nothing back into kernel state, kernel proceeds identically regardless of console write success; boot-error/fault-diagnostic/ACPI-IOMMU-log/CapDL-dump/benchmark-JSON output, established diagnostic-output FP class.",delta-adjudication-task757-exp12c-census-sel4B,2026-09-07T21:00:59.355144,,
