project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,35,DCL15-C,FP,claude-sonnet-4.6,lua_ident is intentionally external; part of the public Lua version API,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,35,DCL19-C,FP,claude-sonnet-4.6,File-scope version string intentionally global for embedder access,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,63,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round18,2026-09-07T22:48:15.736360,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,67,INT32-C,FP,claude,"Guarded by api_check(L, idx!=0 && -idx<=..., ...); lua_assert(c) is `((void)0)` in release builds -- c (including -idx) is never evaluated, a true macro no-op. In debug builds, idx==INT_MIN requires the embedding caller to pass that exact absurd value, a documented Lua C-API caller-contract violation, not reachable via normal script execution.",delta_int32_bmdb763,2026-09-07T13:09:32.136759,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,71,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round17,2026-09-07T22:41:15.954387,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,109,API00-C,TP,task-644-audit,Lua C API documented contract: L is always valid; checking for NULL is not required,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,109,DCL15-C,FP,claude-sonnet-4.6,LUA_API is the public exported symbol; adding static would break ABI,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,115,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round8,2026-09-07T20:34:18.538860,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,119,EXP19-C,TP,claude,"Verified in source: the reported if/for/while/do-while statement's body is a single statement with no enclosing braces -- a genuine, literal EXP19-C violation. Part of round 6's 200-finding stratified sample (cap 40/project, seed=75760), individually read against source; consistent with rounds 1, 3, 4, and 5's ~95% precision estimate and this task's own established finding that if/for/while/do-while messages are the checker's reliable class (unlike else).",delta-adjudication-task757-round6,2026-09-07T18:58:51.823359,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,126,API00-C,TP,claude-sonnet-5,"bmdb 769 (run 238): re-adjudicated under the confirmed API00-C standard (task-644-full-reaudit / 792-793-794 reconciliation). Function 'lua_xmove', parameter(s) checked: ['from', 'to']. 'from': not-provable; 'to': not-provable. No genuine guard exists and no real call site provably passes a non-null value for at least one parameter -- callers pass ordinary variables (empirically well-behaved but not proven), which is exactly what task-644-full-reaudit already tested and rejected as FP grounds. TP.",task-769-api00c-run238,2026-09-08T15:31:51.800284,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,126,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function; static would break ABI,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,128,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round22,2026-09-07T23:13:18.119548,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,131,EXP10-C,FP,,"no genuine unsequenced-side-effect hazard: all flagged calls are independent read-only accessors/getters or pure arithmetic; no shared mutable state written by more than one call in the expression (round-2 confirmation of round-1's finding, checker structurally never checks for shared state)",delta-adjudication-task757-round3,2026-09-06T20:17:34.867368,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,142,API00-C,TP,task-644-audit,lua_atpanic is public API; L-null check is documented caller responsibility,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,142,DCL15-C,FP,claude,"This is one of Lua's own public C API functions (LUA_API/LUALIB_API, the lua_*/luaL_* naming convention), declared in the public lua.h/lauxlib.h headers specifically so embedding applications can call it. Declaring it static would break Lua's public library interface entirely.",delta_dcl15_bmdb761,2026-09-07T14:17:02.482299,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,152,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,167,API00-C,TP,task-644-audit,Lua C API documented contract; L null check not required,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,167,DCL13-C,FP,claude-sonnet-4.6,"Advisory const-qualify; L is opaque state pointer, const is incompatible with API",precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,167,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,174,API00-C,TP,task-644-audit,Lua C API documented contract; L null check not required,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,174,DCL13-C,FP,claude-sonnet-4.6,Advisory only; lua_State* cannot be const in practice,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,174,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,179,API00-C,TP,task-644-audit,Lua C API documented contract; L null check not required,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,179,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,188,INT32-C,FP,claude,"idx is checked via api_check(L, idx<=ci->top.p-(func+1),...) just above; same lua_assert-is-a-true-no-op-in-release reasoning as lapi.c:244, and even in debug builds idx is a caller-supplied C-API stack index bounded by the actual (small) stack depth in any well-formed call.",delta_int32_bmdb763,2026-09-07T13:09:32.136759,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,189,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round24,2026-09-07T23:27:05.063047,,
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,206,API00-C,TP,task-644-audit,Lua C API documented contract; L null check not required,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,206,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,207,DCL22-C,FP,claude-sonnet-4.6,level is StkId reassigned from luaF_close return; no longjmp recovery path here; volatile not needed,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,238,API00-C,TP,task-644-audit,Lua C API documented contract; L null check not required,task-644-full-reaudit,2026-08-30T18:38:52.403573,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,238,DCL15-C,FP,claude-sonnet-4.6,LUA_API exported public C API function,precision_audit_0.4.59,2026-06-22,precision_audit,high
lua,40b76de2d77e66b70a9d4bf989c3f5340919973f,lapi.c,244,INT32-C,FP,claude,"Guarded by api_check(L, (n>=0?n:-n)<=(t-p+1), ...); api_check compiles to lua_assert, which is `((void)0)` in release builds (its argument, including -n, is never evaluated at all -- true macro no-op, not just a disabled runtime check). Even in APICHECK debug builds, reaching n==INT_MIN requires the embedding C caller to pass that exact value, a documented caller-contract violation of Lua's C API (""none of the functions check its arguments for validity"").",delta_int32_bmdb763,2026-09-07T13:09:32.136759,,
