project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,autosetup/jimsh0.c,2271,DCL13-C,TP,manual,reads af->flags only; const feasible,precision_audit_0.4.22,2026-06-10,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,autosetup/jimsh0.c,11565,MEM30-C,FP,manual,free-list walk happens before Jim_Free loop,precision_audit_0.4.22,2026-06-10,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,autosetup/jimsh0.c,20249,INT32-C,FP,manual,argc validated by command dispatch,precision_audit_0.4.22,2026-06-10,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,autosetup/jimsh0.c,20292,INT32-C,FP,manual,argc==2 handled; argc-2 >= 1,precision_audit_0.4.22,2026-06-10,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,autosetup/jimsh0.c,21437,EXP34-C,FP,manual,objPtr param non-NULL by API contract,precision_audit_0.4.22,2026-06-10,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,23,EXP12-C,FP,claude,"Diagnostic/status/help/debug output (CLI message, boot-time log, debug-dump utility, or a report/profiling artifact) with no consequence for the program's own correctness -- if the write/call fails, at most a human observer loses visibility, nothing the program itself depends on. Distinguished from this task's established TP category (config/credential/session persistence data the program later reads back) by whether the program's own core function depends on this specific data's integrity.",delta-adjudication-task757-round5,2026-09-07T18:31:09.358321,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,24,ERR05-C,FP,claude-opus,option_requires_argument is part of this standalone CLI app not reusable library code so exit() is appropriate error handling,precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,28,ERR07-C,TP,claude-opus,atoi at line 28 genuinely lacks error detection rule fires correctly though CLI verbosity arg is low impact,precision_audit_b15,2026-06-14T16:20:13.561245,b15,med
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,28,ERR34-C,TP,claude-opus,atoi lacks the strtol-style error detection ERR34 targets genuine pattern,precision_audit_b15,2026-06-14T16:20:13.561245,b15,med
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,31,DCL13-C,TP,claude-opus,usage param argv only read via argv[0] never written const char *const* would compile,precision_audit_b15,2026-06-14T16:20:13.561245,b15,low
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,32,EXP12-C,FP,claude-sonnet-5,"fprintf to stderr/stdout/a diagnostic-dump stream (debug/profiling/trace report, not data the program reads back or relies on) -- console-class output",delta-adjudication-task757-round3,2026-09-06T20:22:31.419850,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,33,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-sqlite,2026-09-07T21:04:25.003112,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,33,EXP34-C,FP,claude-opus,usage reached only after argc<2 guard so argv[0] always exists per C runtime contract,precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,34,EXP12-C,FP,claude,"Diagnostic/status/help/debug output (CLI message, boot-time log, debug-dump utility, or a report/profiling artifact) with no consequence for the program's own correctness -- if the write/call fails, at most a human observer loses visibility, nothing the program itself depends on. Distinguished from this task's established TP category (config/credential/session persistence data the program later reads back) by whether the program's own core function depends on this specific data's integrity.",delta-adjudication-task757-round4,2026-09-07T17:59:03.273770,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,35,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-sqlite,2026-09-07T21:04:25.003112,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,36,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-sqlite,2026-09-07T21:04:25.003112,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,37,EXP12-C,FP,claude-sonnet-5,"fprintf to stderr/stdout/a diagnostic-dump stream (debug/profiling/trace report, not data the program reads back or relies on) -- console-class output",delta-adjudication-task757-round3,2026-09-06T20:22:31.419850,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,38,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-sqlite,2026-09-07T21:04:25.003112,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,39,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-sqlite,2026-09-07T21:04:25.003112,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,40,ERR05-C,FP,claude-opus,usage is the CLI applications own help/exit path not application-independent code,precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,44,ERR00-C,FP,claude-opus,fopen result is checked at line 49 if(in==0),precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,44,FIO05-C,FP,claude-opus,CLI tool reading user-supplied SQL file is not a privilege boundary requiring fstat owner checks,precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,44,WIN03-C,FP,claude-opus,N flag is a Windows portability nicety not a defect SQLite uses rb consistently,precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,50,STR34-C,FP,claude-opus,*pzErr=sqlite3_mprintf is a char** pointer assignment not a char value read no sign extension,precision_audit_b15,2026-06-14T16:20:13.561245,b15,high
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,53,ERR00-C,TP,claude-opus,fseek return value at line 53 is genuinely ignored,precision_audit_b15,2026-06-14T16:20:13.561245,b15,med
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,53,ERR33-C,TP,claude-opus,fseek return value genuinely ignored failure of seek leaves nIn wrong,precision_audit_b15,2026-06-14T16:20:13.561245,b15,med
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,53,EXP12-C,TP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-sqlite,2026-09-07T21:04:25.003112,,
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,53,FIO14-C,TP,claude-opus,fseek SEEK_END on a binary stream opened rb is technically UB per FIO14,precision_audit_b15,2026-06-14T16:20:13.561245,b15,low
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,53,FIO19-C,TP,claude-opus,code uses fseek/ftell to size the file the FIO19 advisory pattern,precision_audit_b15,2026-06-14T16:20:13.561245,b15,low
sqlite,b1a73ba34d05b32007315e4065c6468cc638e3af,ext/expert/expert.c,54,ERR00-C,TP,claude-opus,ftell result nIn at line 54 not checked for -1 before use in malloc/fread,precision_audit_b15,2026-06-14T16:20:13.561245,b15,med
