project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
curl,3e198f75861cc2e12daf299689e145949dddd19b,docs/examples/hiperfifo.c,178,EXP34-C,FP,manual,msg non-NULL per while-loop condition,precision_audit_0.4.22,2026-06-10,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,docs/examples/smtp-ssl.c,138,MSC13-C,FP,agent,recipients read as first arg on next line curl_slist_append(recipients,msc13_postfix_audit,2026-07-27,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,65,API05-C,FP,claude,Advisory C99 array-param style; curl never uses it. Categorical FP.,curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,67,API05-C,FP,claude,Advisory C99 array-param style; categorical FP.,curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,80,MSC01-C,FP,claude,"Chain strips IPv6 brackets or a trailing dot from srchost; when neither applies (no brackets, no trailing dot) nothing needs stripping, a correct no-op",delta_msc01_task535,2026-08-25T07:39:35.521054,delta_msc01_task535,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,89,EXP19-C,TP,claude-sonnet-5,Genuine unbraced single-statement body confirmed by direct source read,delta-adjudication-task757-round98,2026-09-08T01:59:40.091102,individual-source-verification,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,93,INT01-C,FP,,"sizeof(struct altsvc) + (hlen+1) + (dlen+1) is an addition-of-sizeof expression, already size_t-typed; checker only recognizes the multiplication form as pre-typed.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,94,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round88,2026-09-08T01:41:38.199694,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,96,ARR39-C,FP,claude,"(char*)as + sizeof(struct) is byte offset, char* not scaled. No double scaling.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,97,ARR38-C,FP,claude-opus-5,"[dest-malloced-from-same-length] Dest as->src.host points into the block allocated at line 93 'as = curlx_calloc(1, sizeof(struct altsvc) + (hlen + 1) + (dlen + 1))', sized from hlen itself, so the hlen-byte memcpy at 97 cannot overflow.",delta_arr38_task731,2026-09-03T13:20:20.370365,,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,100,ARR39-C,FP,claude,"char* pointer arithmetic; sizeof gives byte offset, correct flexible-tail layout.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,101,ARR38-C,FP,claude-opus-5,"[dest-malloced-from-same-length] Dest as->dst.host = (char*)as + sizeof(struct altsvc) + hlen + 1 (line 100) inside the same line-93 allocation that reserved (dlen + 1) bytes for it, so the dlen-byte memcpy at 101 fits exactly.",delta_arr38_task731,2026-09-03T13:20:20.370365,,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,109,DCL30-C,FP,claude,"'as' is calloc'd heap memory, not automatic storage. Misread.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,121,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round22,2026-09-07T23:13:18.119548,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,123,EXP30-C,FP,claude,curlx_str/curlx_strlen are pure accessors; no unsequenced side effects.,curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,145,EXP15-C,FP,claude,"Intentional parse-chain idiom; empty if body, work done in else branch.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,145,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round18,2026-09-07T22:48:15.736360,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,146,EXP02-C,FP,claude-sonnet-5,"guard-pattern detector doesn't recognize bare function-call guards, assign-and-test idioms (x=f())!=NULL/>0/==OK, or multi-call bail chains (setgid()||setegid()||...) as intentional -- no genuine unsafe short-circuit dependency found",delta-adjudication-task757-round3,2026-09-06T20:23:15.373447,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,147,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,148,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,149,DCL06-C,TP,,"Confirmed magic number per DCL06-C: literal is a genuine, unnamed value used directly in a comparison/function-argument/array-size context with no symbolic constant at this use site. Checked for the two existing FP mechanisms (task 1122 IDT-table sibling-identifier echo, and version-macro comparison) -- neither applies: no adjacent identifier encodes this literal's hex/name, and it is not compared against a *_VERSION-style macro. Verified no sizeof() exemption was missed for array-size findings. A well-known/spec-derived origin (protocol status code, crypto round constant, IPv6/ASN.1 field width, calendar arithmetic, bit mask/shift idiom, documented platform/library limit) does not itself exempt it under the rule's current narrow, structurally-gated exemptions -- consistent with prior advisory-rule adjudication precedent (e.g. DCL13-C) of counting a correctly -identified low-severity style hit as TP rather than inventing a new broad exemption category without a demonstrated structural pattern.",delta-adjudication-task757-r720-weekend,2026-09-11T19:21:45.577038,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,149,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,150,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,151,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,152,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,153,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,154,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,155,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,156,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,157,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,158,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,159,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,160,EXP02-C,FP,claude-sonnet-5,"guard-pattern detector doesn't recognize bare function-call guards, assign-and-test idioms (x=f())!=NULL/>0/==OK, or multi-call bail chains (setgid()||setegid()||...) as intentional -- no genuine unsafe short-circuit dependency found",delta-adjudication-task757-round3,2026-09-06T20:23:15.373447,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,161,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,162,EXP02-C,FP,,"FP - sequential-fallible-step-chain idiom: each call parses/builds/advances state and returns nonzero on failure; the '||' chain is deliberate early-exit-on-error control flow (do not run step N+1 after step N failed), not an accidentally-skipped side effect. This is the dominant EXP02-C FP pattern in this batch (curlx_str_*/curlx_dyn_*/Curl_uint32_*_resize/fseek-ftell/fcntl/sasl_choose_* step chains).",delta-adjudication-task757-r720-weekend,2026-09-11T17:33:33.618279,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,166,ENV01-C,FP,claude,"dbuf is fixed-size from MAX_ALTSVC_DATELEN, not from getenv. Bound enforced by parser.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,166,MEM05-C,FP,claude,"dbuf is compile-time fixed-size array, not a VLA.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,171,EXP30-C,FP,claude,memcpy args are pure accessors; no unsequenced side effects.,curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,174,MEM31-C,FP,claude,"'as' appended to asi->list, owned and freed by Curl_altsvc_cleanup. Not leaked.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,176,EXP19-C,FP,claude-sonnet-5,,delta-adjudication-task757-round24,2026-09-07T23:27:05.063047,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,186,MEM31-C,FP,claude,On null 'as' nothing allocated; on success appended to list. No leak.,curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,206,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round66,2026-09-08T01:12:31.935123,,
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,206,MEM30-C,FP,claude,"free(asi->filename) then strdup-reassign; classic free-then-realloc, not UAF.",curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,209,FIO42-C,FP,claude,fopen not open(); fp closed at 224. Duplicate misfire.,curl_full_audit_0.4.35,2026-06-16T15:18:56.926079,curl_full_audit_0.4.35,high
curl,3e198f75861cc2e12daf299689e145949dddd19b,lib/altsvc.c,219,EXP19-C,TP,claude-sonnet-5,Genuine unbraced single-statement body confirmed by direct source read,delta-adjudication-task757-round99,2026-09-08T02:01:19.652635,individual-source-verification,high
