project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,34,DCL04-C,TP,,"Verified against source at this line: a genuine multi-declarator variable declaration where not every declarator is a plain uninitialized identifier (pointer declarator, array declarator, and/or initializer present), so DCL04-C-EX2 does not apply. Declaration text matches (or is a truncated prefix of) the flagged source verbatim.",delta-adjudication-task757-r720-weekend,2026-09-11T18:41:46.674488,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,35,DCL04-C,TP,,"Verified against source at this line: a genuine multi-declarator variable declaration where not every declarator is a plain uninitialized identifier (pointer declarator, array declarator, and/or initializer present), so DCL04-C-EX2 does not apply. Declaration text matches (or is a truncated prefix of) the flagged source verbatim.",delta-adjudication-task757-r720-weekend,2026-09-11T18:41:46.674488,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,38,ERR00-C,FP,claude,fopen() return IS checked via `if (!f)` on the very next line,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,38,FIO05-C,FP,claude,"hostapd VLAN/maclist/eap-user/rxkh files are admin-supplied local config paths, not adversarial input; fstat ownership check pattern",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,38,WIN03-C,TP,claude,"literal rule match (no 'N' flag); low real-world impact, pedantic per WIN-rules-need-oracle note",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,low
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,44,ARR30-C,FP,claude,"misattributed: line 44 is the `while (fgets(...))` header, not the 'pos' scan loop below; new outer-fgets-while misattribution pattern",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,44,EXP05-C,FP,claude,bogus: no cast of 'f' occurs anywhere in this function; recurring misattribution bug paired with the fgets-while ARR30-C miss,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,47,EXP19-C,TP,claude-sonnet-5,Genuine unbraced single-statement body confirmed by direct source read,delta-adjudication-task757-round99,2026-09-08T02:01:19.652635,individual-source-verification,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,50,ARR30-C,FP,claude,bounded scan: pos walks buf[128] which fgets() NUL-terminates within bounds; provably-bounded NUL scan FP class,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,52,STR34-C,FP,claude,"`*pos='\0'` is a literal-constant char assignment, no widening/sign-extension occurs; confirmed STR34-C plain-assignment FP class",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,57,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round138,2026-09-08T03:36:18.520712,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,62,INT32-C,FP,claude,"`pos = buf + 1` is pointer arithmetic on a fixed local array (buf[128]), not integer addition; INT32-C category error on pointer arithmetic",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,64,ERR00-C,FP,claude,same: return value is checked at the following line,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,64,ERR01-C,FP,claude,range check on vlan_id substitutes for errno check in practice; overflow would fail the MAX_VLAN_ID bound,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,64,ERR30-C,FP,claude,same errno-reset pedantry; downstream range check covers the practical risk,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,64,ERR33-C,FP,claude,strtol result is checked immediately (buf==pos / range vs MAX_VLAN_ID at next line) even though errno itself isn't checked,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,69,ERR00-C,FP,claude,"fclose() on a read-only stream with unchecked return: no data-loss risk, not actionable; recurring pattern in this file",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,69,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-hostapD,2026-09-07T21:04:29.003892,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,74,EXP19-C,TP,claude-sonnet-5,Genuine unbraced single-statement body confirmed by direct source read,delta-adjudication-task757-round98,2026-09-08T01:59:40.091102,individual-source-verification,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,77,EXP19-C,TP,claude-r720,,delta-adjudication-task757-round153,2026-09-08T04:01:37.595571,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,80,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round178,2026-09-08T04:40:12.131173,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,81,STR34-C,FP,claude,"`*(pos2++)='\0'` literal constant assignment, confirmed STR34-C FP class",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,86,ERR00-C,FP,claude,"fclose() on read-only stream, unchecked return not actionable",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,86,EXP12-C,FP,claude,"Diagnostic/status/help/debug output (CLI message, boot-time log, debug-dump utility, or a report/profiling artifact) with no consequence for the program's own correctness -- if the write/call fails, at most a human observer loses visibility, nothing the program itself depends on. Distinguished from this task's established TP category (config/credential/session persistence data the program later reads back) by whether the program's own core function depends on this specific data's integrity.",delta-adjudication-task757-round5,2026-09-07T18:31:09.358321,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,86,FIO24-C,FP,claude,mutually-exclusive early-return branches (each closes+returns independently); same class as confirmed MEM31-C/mutually-exclusive-branch FPs,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,90,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round139,2026-09-08T03:37:41.809575,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,93,EXP19-C,TP,claude-sonnet-5,Genuine unbraced single-statement body confirmed by direct source read,delta-adjudication-task757-round104,2026-09-08T02:09:05.787832,individual-source-verification,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,95,STR34-C,FP,claude,`*pos3='\0'` literal constant assignment,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,97,EXP33-C,FP,claude,`os_zalloc(sizeof(*vlan))` — sizeof never evaluates its operand; confirmed EXP33-C sizeof(*ptr) FP class,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,101,ERR00-C,FP,claude,"fclose() on read-only stream, unchecked return not actionable",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,101,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-hostapD,2026-09-07T21:04:29.003892,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,101,FIO24-C,FP,claude,"mutually-exclusive early-return branches, not a real double close",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,105,INT16-C,FP,claude-sonnet-5,"vlan->vlan_id is declared int (ap_config.h), not unsigned; signed-to-signed assignment, and vlan_id is guarded to >=1 or the explicit -1 wildcard sentinel.",task-770-int16c-cluster1,2026-09-10T18:27:10.477320,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,106,INT16-C,FP,claude-sonnet-5,"vlan_desc.untagged is declared int (vlan.h), not unsigned; no unsigned destination exists here.",task-770-int16c-cluster1,2026-09-10T18:27:10.477320,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,114,ERR00-C,FP,claude,"fclose() on read-only stream, unchecked return not actionable",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,114,EXP12-C,FP,claude-sonnet-5,,delta-adjudication-task757-exp12c-census-hostapD,2026-09-07T21:04:29.003892,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,114,FIO24-C,FP,claude,"mutually-exclusive early-return branches (114 is the only-reached success-path close), not a real double close",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,125,DCL04-C,TP,,"Verified against source at this line: a genuine multi-declarator variable declaration where not every declarator is a plain uninitialized identifier (pointer declarator, array declarator, and/or initializer present), so DCL04-C-EX2 does not apply. Declaration text matches (or is a truncated prefix of) the flagged source verbatim.",delta-adjudication-task757-r720-weekend,2026-09-11T18:41:46.674488,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,130,ERR00-C,FP,claude,fopen() checked via `if (!f)` next line,hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,130,FIO05-C,FP,claude,admin-config-file trust pattern (see L38),hostap_full_audit_0.4.169,2026-07-29,41plus_b20,med
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,130,WIN03-C,TP,claude,"literal rule match, pedantic (see L38)",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,low
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,136,ARR30-C,FP,claude,"misattributed to fgets-while header, not the actual pos-scan loop; recurring misattribution pattern",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,136,EXP05-C,FP,claude,"bogus cast-away-const 'f' claim, no such cast exists; recurring pattern",hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,141,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round165,2026-09-08T04:23:24.578813,,
hostap,dcee60436390dd34731560657c4257c3b4c839a6,hostapd/config_file.c,144,ARR30-C,FP,claude,bounded NUL-terminated scan over fgets-populated buf[128],hostap_full_audit_0.4.169,2026-07-29,41plus_b20,high
