project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,88,CON03-C,FP,claude-opus-4.8,single-threaded-context platform state; module static,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,259,CON03-C,FP,claude-opus-4.8,single-threaded-context platform state; module static,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,273,INT01-C,FP,,"FALSE POSITIVE (external-API-mandated type): android_read()'s signature (`int size`) matches BSD funopen()'s readfn contract (`int (*)(void*, char*, int)`), which raylib must match exactly; not a fixable defect.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,274,INT01-C,FP,,"FALSE POSITIVE (external-API-mandated type): android_write()'s signature (`int size`) matches BSD funopen()'s writefn contract (`int (*)(void*, const char*, int)`), which raylib must match exactly; not a fixable defect.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,302,DCL37-C,TP,claude-opus-4.8,reserved-namespace identifier (__wrap_fopen/__real_fopen/_XTYPEDEF_FONT/feature-test) used as macro/function name; factual (batch1 calibration),precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,302,INT01-C,FP,,"FALSE POSITIVE (substring-match bug): the rule's size_names list is matched as a raw substring against the whole parameter text; ""fileName"" lowercased is ""filename"", which contains ""len"" as a coincidental substring (fi-LEN-ame). The parameter is a string pointer (a path), not a size of any kind.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,303,DCL37-C,TP,claude-opus-4.8,reserved-namespace identifier (__wrap_fopen/__real_fopen/_XTYPEDEF_FONT/feature-test) used as macro/function name; factual (batch1 calibration),precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,303,INT01-C,FP,,"FALSE POSITIVE (substring-match bug): the rule's size_names list is matched as a raw substring against the whole parameter text; ""fileName"" lowercased is ""filename"", which contains ""len"" as a coincidental substring (fi-LEN-ame). The parameter is a string pointer (a path), not a size of any kind.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,305,API02-C,FP,claude-opus-4.8,pointer-without-size advisory,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,319,API02-C,FP,claude-opus-4.8,pointer-without-size advisory,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,322,API00-C,TP,task-644-audit,pointer-validation advisory; trusted contract,task-644-full-reaudit,2026-08-30T18:38:52.403573,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,324,DCL00-C,FP,claude-opus-4.8,[adversary: verify compute-once vs out-param-written (int w=0; GetSize(&w)) vs reassigned] default FP,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,331,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,334,MSC13-C,TP,claude-sonnet-5,pollResult only ever assignment target never re-read by name,precision_audit_task439_delta,2026-08-12T09:15:07.487844,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,341,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,343,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round18,2026-09-07T22:48:15.736360,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,349,DCL15-C,FP,claude-opus-4.8,advisory/misfire (default),precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,361,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round22,2026-09-07T23:13:18.119548,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,398,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round17,2026-09-07T22:41:15.954387,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,401,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round24,2026-09-07T23:27:05.063047,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,408,EXP19-C,TP,claude-sonnet-5,,delta-adjudication-task757-round8,2026-09-07T20:34:18.538860,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,418,DCL13-C,TP,claude-sonnet-5,"Flagged by bin/find_duplicate_verdict_conflicts.py (task 1): structurally identical/duplicated code, this row's sibling(s) carry the opposite verdict on the same rule. Re-adjudicated by reading the actual pinned source and applying the rule's literal text (this repo's adjudication standard -- no project-convention exemption), same standard as task 757/793/796's INT01-C and API00-C corrections.",duplicate-verdict-scan-task1-2026-09-13,2026-09-13T13:25:54.129309,,high
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,418,INT01-C,TP,,"TP: genuine array/element or byte count (window icons, dropped file paths, draw-buffer/uniform/vertex counts, SSBO byte counts) used directly to bound a loop or GPU/memory copy -- real CERT INT01-C match, int should be size_t.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,424,API00-C,FP,claude-opus-4.8,pointer-validation advisory; trusted contract,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,495,EXP34-C,FP,claude-opus-4.8,[adversary: verify] null-deref; GLFW monitors/mode or env genuinely-unchecked-reachable vs trusted; default FP,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,545,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,546,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,547,DCL06-C,TP,,"Unit-conversion constant (inches-to-mm), no documenting comment/spec citation nearby.",delta-adjudication-task757-r720-weekend,2026-09-11T19:21:45.577038,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,547,FLP03-C,FP,claude-opus-4.8,FP-division advisory,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,547,INT33-C,FP,claude-opus-4.8,div by float/trusted-nonzero (dims/rates); float-context or never-zero,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,554,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,555,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,556,FLP03-C,FP,claude-opus-4.8,FP-division advisory,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,556,INT33-C,FP,claude-opus-4.8,div by float/trusted-nonzero (dims/rates); float-context or never-zero,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,583,DCL31-C,FP,claude-opus-4.8,implicit-declaration: platform API (SDL/Win32/EGL/JNI/emscripten/drm) declared in headers sqc does not follow; misfire,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,584,DCL06-C,TP,claude-sonnet-5,160 is the Android baseline DPI divisor used with no adjacent comment; a named constant would clarify the assumption.,delta-adjudication-task757-round181,2026-09-10T20:15:37.040695,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,584,FLP03-C,FP,claude-opus-4.8,FP-division advisory,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
raylib,962bbfc6bfbd7a5acd08e21314fcfa161003a589,src/platforms/rcore_android.c,584,FLP34-C,FP,claude-opus-4.8,benign float conversion,precision_audit_0.4.63_batch9,2026-06-23T18:57:14.967191,,
