project,codebase_commit,file_path,line,rule_id,verdict,adjudicator,reason,source,adjudicated_at,provenance,confidence
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,apps/mosquitto_ctrl/dynsec_client.c,135,MSC13-C,FP,agent,"username/clientid=NULL: clientid's NULL is genuinely read via `(clientid && cJSON_AddStringToObject(...))` on the argc==1 path; username's NULL is only dead on the immediate-error-return path, an idiomatic defensive init a reviewer would not flag",msc12_msc13_precision_audit,2026-07-27,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,client/client_props.c,65,MSC13-C,TP,agent,cmdname/propname=NULL are unconditionally overwritten by argv[*idx] on the very next statement with no intervening branch or read of the NULL init — genuinely dead,msc12_msc13_precision_audit,2026-07-27,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,client/client_shared.c,136,MSC12-C,FP,agent,else-if body is one of many comment-documented no-op arms enumerating recognized format chars.,msc12_msc13_precision_audit,2026-07-27,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,client/client_shared.c,1639,INT32-C,FP,manual,len bounded by argv option string length,precision_audit_0.4.22,2026-06-10,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,8,DCL37-C,FP,claude,"This is a standard, POSIX-documented feature-test macro that applications are expected to #define before including system headers, not a naming mistake.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,12,DCL37-C,FP,claude,"This is a standard, POSIX-documented feature-test macro that applications are expected to #define before including system headers, not a naming mistake.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,13,DCL37-C,FP,claude,"This is a standard, POSIX-documented feature-test macro that applications are expected to #define before including system headers, not a naming mistake.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,24,DCL06-C,FP,claude-sonnet-5,_MSC_VER < 1900 is the well-known MSVC version-check idiom (VS2015).,delta-adjudication-task757-round184,2026-09-10T20:46:09.397344,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,66,DCL37-C,TP,claude,"config.h unconditionally #defines the reserved standard type names as a Coverity workaround (comment admits ""these are wrong""), a genuine user redefinition of reserved identifiers.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,67,DCL37-C,TP,claude,"config.h unconditionally #defines the reserved standard type names as a Coverity workaround (comment admits ""these are wrong""), a genuine user redefinition of reserved identifiers.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,68,DCL37-C,TP,claude,"config.h unconditionally #defines the reserved standard type names as a Coverity workaround (comment admits ""these are wrong""), a genuine user redefinition of reserved identifiers.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,69,DCL37-C,TP,claude,"config.h unconditionally #defines the reserved standard type names as a Coverity workaround (comment admits ""these are wrong""), a genuine user redefinition of reserved identifiers.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,70,DCL37-C,TP,claude,"config.h unconditionally #defines the reserved standard type names as a Coverity workaround (comment admits ""these are wrong""), a genuine user redefinition of reserved identifiers.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,config.h,96,DCL37-C,FP,claude,"This is a standard, POSIX-documented feature-test macro that applications are expected to #define before including system headers, not a naming mistake.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker.h,595,EXP37-C,FP,claude,"mosquitto_log_printf(int level, const char *fmt, ...) is only a prototype declaration with no va_list usage at this site; a variadic prototype does not require <stdarg.h> -- only a definition that uses va_list/va_start does.",delta_lt1_task548,2026-08-25T09:50:52.751646,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker.h,798,API02-C,FP,maintainer,"Flagged ""pointer"" is a callback/function-pointer parameter, not a caller-supplied write buffer.

[file_path corrected broker.h -> include/mosquitto/broker.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker.h,846,INT01-C,TP,,Genuine byte-length parameter (payloadlen) typed int/uint32_t rather than size_t; matches the established public-API payloadlen TP calibration.,delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker.h,885,INT01-C,TP,,Genuine byte-length parameter (payloadlen) typed int/uint32_t rather than size_t; matches the established public-API payloadlen TP calibration.,delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker.h,1284,INT01-C,TP,,Genuine byte-length parameter (payloadlen) typed int/uint32_t rather than size_t; matches the established public-API payloadlen TP calibration.,delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,135,INT01-C,FP,,"supported_version_count is a count of protocol versions (discrete entries), not a memory object size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,137,PRE00-C,TP,maintainer,"MOSQUITTO_PLUGIN_DECLARE_VERSION(A) expands A twice: `supported_versions[i] == (A)` and `return (A);`.

[file_path corrected broker_plugin.h -> include/mosquitto/broker_plugin.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,137,PRE02-C,FP,claude,"MOSQUITTO_PLUGIN_DECLARE_VERSION's replacement list is an entire function DEFINITION, not an expression; the operator-precedence concern PRE02-C targets doesn't apply to a function-body macro.",delta_lt3_task550,2026-08-25T10:04:36.057380,delta_lt3_task550,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,137,PRE10-C,FP,claude,"Same macro as PRE02-C: it expands to a top-level function definition invoked at file scope, not a multi-statement block meant to be embedded as a single caller statement -- the do-while-wrap concern doesn't apply.",delta_lt3_task550,2026-08-25T10:04:36.057380,delta_lt3_task550,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,137,PRE12-C,TP,maintainer,"Same MOSQUITTO_PLUGIN_DECLARE_VERSION(A) macro; A evaluated twice.

[file_path corrected broker_plugin.h -> include/mosquitto/broker_plugin.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,170,INT01-C,FP,claude-sonnet-5,mosquitto_plugin_init is the external third-party plugin ABI,delta-adjudication-task757-round2,2026-09-06T19:06:57.849413,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,193,INT01-C,FP,,"option_count is a count of config-option array elements, not a byte size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,255,INT01-C,FP,,"opt_count is a count of config-option array elements, not a byte size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,277,INT01-C,FP,,"opt_count is a count of config-option array elements, not a byte size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,305,INT01-C,FP,,"opt_count is a count of config-option array elements, not a byte size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,333,INT01-C,FP,,"opt_count is a count of config-option array elements, not a byte size.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/broker_plugin.h,405,INT01-C,TP,,max_key_len is a PSK/key buffer capacity in bytes; matches the established max_key_len TP calibration.,delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,39,PRE08-C,TP,maintainer,"'libcommon_base64.h'[:8]='libcommo' equals 'libcommon_cjson.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,40,PRE08-C,TP,maintainer,"'libcommon_cjson.h'[:8]='libcommo' equals 'libcommon_file.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,41,PRE08-C,TP,maintainer,"'libcommon_file.h'[:8]='libcommo' equals 'libcommon_memory.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,42,PRE08-C,TP,maintainer,"'libcommon_memory.h'[:8]='libcommo' equals 'libcommon_password.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,43,PRE08-C,TP,maintainer,"'libcommon_password.h'[:8]='libcommo' equals 'libcommon_properties.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,44,PRE08-C,TP,maintainer,"'libcommon_properties.h'[:8]='libcommo' equals 'libcommon_random.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,45,PRE08-C,TP,maintainer,"'libcommon_random.h'[:8]='libcommo' equals 'libcommon_string.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,46,PRE08-C,TP,maintainer,"'libcommon_string.h'[:8]='libcommo' equals 'libcommon_time.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,47,PRE08-C,TP,maintainer,"'libcommon_time.h'[:8]='libcommo' equals 'libcommon_topic.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon.h,48,PRE08-C,TP,maintainer,"'libcommon_topic.h'[:8]='libcommo' equals 'libcommon_utf8.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.

[file_path corrected libcommon.h -> include/mosquitto/libcommon.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_pre08_task543,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_base64.h,31,API02-C,FP,maintainer,"Output is an internally-allocated char**/void** (caller doesn't supply the buffer), so no size argument is needed.

[file_path corrected libcommon_base64.h -> include/mosquitto/libcommon_base64.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_base64.h,32,INT01-C,TP,claude-sonnet-5,"Corrected under strict standard (literal size_t/rsize_t required, Brandon's ruling 2026-09-06): mosquitto_base64_decode is stable public API -- genuinely sizes an object but type is not literally size_t/rsize_t, so it IS a violation under the strict reading even though safe by project/API convention.",delta-adjudication-task757-round2-corrected,2026-09-06T19:22:24.349314,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_file.h,44,API02-C,FP,maintainer,"buflen (int*) already serves as the accompanying size/capacity argument for buf.

[file_path corrected libcommon_file.h -> include/mosquitto/libcommon_file.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_file.h,44,INT01-C,TP,,"buflen is a genuine buffer byte-capacity in/out parameter (like fgets), typed int not size_t.",delta-adjudication-task757-r720-weekend,2026-09-11T17:58:53.526617,,
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_file.h,49,API02-C,FP,maintainer,"Flagged ""pointer"" is a callback/function-pointer parameter, not a caller-supplied write buffer.

[file_path corrected libcommon_file.h -> include/mosquitto/libcommon_file.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_file.h,63,API02-C,FP,maintainer,"Function only shrinks an existing NUL-terminated string in place; it cannot write past the original bounds.

[file_path corrected libcommon_file.h -> include/mosquitto/libcommon_file.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,medium
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_memory.h,75,PRE00-C,TP,maintainer,"mosquitto_FREE(A) expands to `mosquitto_free(A); (A) = NULL;` — A is referenced twice.

[file_path corrected libcommon_memory.h -> include/mosquitto/libcommon_memory.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_memory.h,75,PRE12-C,TP,maintainer,"Same mosquitto_FREE(A) macro; A evaluated twice.

[file_path corrected libcommon_memory.h -> include/mosquitto/libcommon_memory.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,high
mosquitto,d3ee5c5ca62c0fa4983308c6fff558ee978e878c,include/mosquitto/libcommon_properties.h,302,API02-C,FP,maintainer,"Function reads into a fixed-size scalar or internally-allocated out-pointer (value/len set by the function itself), not an unbounded caller buffer needing a size arg.

[file_path corrected libcommon_properties.h -> include/mosquitto/libcommon_properties.h] task 736: project_relpath used rfind while its docstring said first, so every path under include/mosquitto/ lost its whole prefix at normalization time and these rows recorded the bare basename the pipeline handed them. Verdicts are unchanged and were never wrong -- findings normalized the same way, so scoring matched. include/mqtt_protocol.h is a 2-line back-compat shim, so labels at lines 291-296 can only be include/mosquitto/mqtt_protocol.h.",path-repath-2026-09-03,2026-09-03T15:25:59.509980,delta_lt1_task548,medium
